length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
1145,13,18,4,4
98,19,2,1,1
1664,162,21,4,4
1058,106,14,3,3
838,110,10,3,3
1040,149,13,3,4
1601,76,22,3,3
249,91,2,2,2
1747,91,24,3,3
312,189,2,4,4
221,135,1,3,3
1427,71,19,3,3
417,101,4,2,2
1973,45,27,4,3
1493,131,19,3,4
989,141,12,3,4
268,86,3,2,2
417,179,3,3,3
1144,30,16,3,2
1731,3,28,21,20
1206,157,15,3,4
336,14,5,2,1
1476,44,20,3,2
1802,52,25,3,3
1574,104,21,3,3
277,168,2,3,4
1399,33,20,3,3
1311,13,20,4,5
1098,93,14,3,3
1026,178,12,4,4
1231,181,16,3,4
960,141,12,3,3
345,178,2,3,3
1202,93,17,2,2
1767,98,24,3,3
1185,31,16,2,3
1563,7,24,9,8
859,17,13,3,3
68,136,0,2,2
1801,117,24,4,3
1498,122,19,3,3
534,121,6,3,3
1172,37,16,3,2
943,42,13,2,2
171,75,1,2,2
1193,15,18,4,3
399,109,4,2,2
1926,28,27,4,3
1637,141,21,4,4
1177,101,15,3,3
25,19,0,1,1
51,43,0,1,2
492,51,7,1,1
663,121,7,2,3
559,158,6,3,3
1772,28,25,4,4
1244,73,17,3,3
379,82,4,2,2
303,79,4,1,1
903,123,11,3,3
442,6,7,3,3
1253,94,17,2,2
990,141,12,3,4
422,77,5,2,2
1046,194,13,4,4
488,100,6,2,3
494,163,5,3,3
419,190,3,3,4
58,127,0,3,2
1026,6,16,7,7
1121,36,15,3,3
1325,42,18,3,2
1333,72,18,3,2
964,116,12,2,2
484,158,4,3,4
172,162,0,3,3
1387,42,19,3,2
1385,29,19,3,3
1027,74,13,3,2
450,145,5,2,3
1396,195,17,4,5
1544,126,20,3,3
1374,175,17,4,4
700,107,8,3,3
1858,199,24,5,5
74,81,0,2,2
1753,68,24,3,3
1187,199,14,4,5
376,66,5,1,2
1338,124,18,3,3
1238,35,17,3,2
1065,66,14,3,2
1266,98,16,3,3
1396,94,18,3,3
1335,150,17,3,4
1625,84,22,2,2
1888,121,25,4,3
1039,5,16,8,8
1710,41,24,3,2
827,68,11,2,2
180,170,1,2,3
832,187,9,4,4
1944,196,25,5,5
1483,168,19,4,4
493,42,6,2,2
218,85,2,2,2
184,182,0,3,4
530,2,9,10,9
46,185,0,3,4
121,166,0,2,3
989,10,15,5,4
1916,129,25,3,4
1186,179,14,4,5
1465,32,20,3,3
611,7,10,4,4
1660,145,22,4,4
247,88,2,2,2
84,103,0,2,3
390,21,6,1,2
194,198,0,3,4
1610,188,20,4,7
1473,1,44,98,90
1809,91,48,6,6
1597,11,48,12,11
1519,103,39,6,6
1860,69,50,6,5
1114,172,26,6,7
893,25,25,5,5
399,50,10,3,3
15,189,0,6,7
1378,181,34,7,9
1244,105,32,5,6
172,65,3,3,3
554,81,13,4,4
815,43,21,4,4
467,192,8,7,8
1477,41,40,5,4
205,42,4,2,3
1053,57,28,5,4
1249,119,31,5,6
818,163,18,7,7
1657,194,41,8,9
1941,165,49,8,9
1940,100,51,6,6
179,8,6,3,3
235,66,5,3,3
1152,8,34,11,11
1378,44,37,5,5
1436,55,38,5,5
744,34,20,4,4
1107,130,27,5,6
1882,154,48,7,9
1596,149,40,7,7
500,146,10,5,6
146,87,2,3,3
1380,99,35,6,6
329,58,8,3,4
210,48,5,2,2
412,21,12,3,3
1732,104,45,6,6
1778,11,53,13,12
583,55,14,4,4
1515,76,40,5,5
1318,142,36,4,4
1040,171,14,4,4
1157,15,21,4,4
1924,47,31,4,3
63,84,0,2,2
1113,170,16,4,5
206,167,1,3,3
1123,161,16,4,4
1850,98,29,4,3
1453,120,22,3,4
1403,43,22,3,3
1963,21,34,5,5
102,66,1,2,2
1183,126,17,3,3
182,111,1,3,3
678,167,8,4,4
1482,152,22,4,4
1254,127,19,3,4
1742,86,27,4,3
561,163,6,4,4
280,4,5,3,3
1850,17,33,6,5
371,16,6,2,2
142,120,0,3,3
1499,102,23,4,4
306,63,4,2,2
135,47,2,1,2
787,35,13,2,2
875,146,12,4,4
1890,175,28,5,6
1775,180,26,4,4
195,131,1,3,3
1344,175,19,4,4
948,126,14,3,3
16,50,0,1,1
727,162,9,3,4
970,190,13,4,5
1867,63,30,3,3
1707,48,27,3,3
217,109,2,3,3
486,183,5,3,4
834,70,13,2,3
1790,68,28,3,3
816,33,12,3,2
1675,112,26,4,4
582,156,7,3,4
1726,116,26,4,4
1792,34,29,4,3
1541,177,23,4,5
585,176,7,3,5
1877,117,29,4,4
541,130,7,3,4
474,36,7,2,2
1860,22,33,5,5
1719,183,25,5,5
470,55,7,2,2
1098,78,16,2,3
960,133,13,4,4
264,28,4,2,1
1297,197,18,5,5
1915,137,30,4,5
658,91,9,2,2
559,32,9,2,2
1055,109,15,3,3
386,193,4,3,4
35,197,0,4,5
174,20,3,1,1
1788,46,28,3,3
878,151,12,3,4
1074,22,19,3,3
1352,185,19,4,5
1031,111,15,4,3
11,28,0,1,1
113,44,1,1,1
1277,105,24,5,5
655,167,8,3,5
1342,115,20,3,4
414,133,4,3,4
1528,113,23,4,3
1382,102,21,4,4
1055,57,17,2,2
1079,130,15,3,4
1327,131,20,3,4
1611,141,24,4,4
1228,61,19,2,3
1216,155,18,4,4
1897,96,30,3,3
1420,31,23,3,3
980,140,13,4,4
1679,32,27,3,3
939,70,14,2,3
1843,190,27,4,5
1637,62,26,4,3
1310,72,21,2,2
592,120,8,3,4
605,53,9,1,1
515,144,6,3,4
216,95,2,2,3
687,116,9,3,4
600,91,9,2,3
26,193,0,3,4
1595,170,23,5,5
285,101,3,2,3
1932,181,29,5,6
1344,196,19,4,5
1445,13,25,6,5
973,9,17,5,5
264,31,4,1,2
1340,156,19,4,4
991,53,15,3,2
816,38,13,2,2
724,70,11,2,3
1304,160,19,4,5
1232,64,19,2,2
1673,16,29,5,5
1040,76,16,3,3
235,40,3,1,2
1254,45,20,3,2
1410,25,22,3,4
722,39,12,2,2
828,174,10,3,5
1908,124,29,4,4
1021,108,15,3,3
1110,123,25,3,3
1899,40,28,4,3
1383,80,20,3,3
710,92,10,2,3
817,151,10,3,4
1094,183,14,3,4
918,69,13,3,2
1080,75,15,3,3
589,102,7,3,3
1300,130,18,3,3
1593,167,22,4,5
1635,36,25,3,3
343,19,6,1,2
360,159,3,3,4
1763,197,25,4,5
1343,31,20,3,2
1843,123,26,3,4
1823,73,27,3,3
377,36,5,2,2
1861,36,28,4,3
992,51,14,3,2
159,78,1,2,2
1472,130,20,3,3
1175,108,17,3,3
